subject_ids,classifications,workflow_id,workflow_version,file-name,advance,flag
13289220,5,427,6.20,,advance,1
13289221,5,427,6.20,,advance,1
13289222,5,427,6.20,,advance,1
13289223,5,427,6.20,,advance,1
13289224,5,427,6.20,,advance,1
13289225,5,427,6.20,,advance,1
13289226,6,427,6.20,,advance,1
13289227,5,427,6.20,,advance,1
13289228,5,427,6.20,,advance,1
13289229,5,427,6.20,,advance,1
13289230,5,427,6.20,,advance,1
13289231,5,427,6.20,,advance,1
13289232,5,427,6.20,,retire,0
13289233,5,427,6.20,,advance,1
13289234,5,427,6.20,,advance,1
13289235,5,427,6.20,,advance,1
13289236,5,427,6.20,,advance,1
13289237,5,427,6.20,,advance,1
13289238,5,427,6.20,,advance,1
13289239,5,427,6.20,,advance,1
13289240,5,427,6.20,,advance,1
13289241,5,427,6.20,,advance,1
13289242,5,427,6.20,,advance,1
13289243,5,427,6.20,,advance,1
13289244,5,427,6.20,,advance,1
13289245,5,427,6.20,,advance,1
13289246,5,427,6.20,,advance,1
13289247,5,427,6.20,,advance,1
13289248,5,427,6.20,,retire,0
13289249,5,427,6.20,,retire,0
13289250,5,427,6.20,,advance,1
13289251,5,427,6.20,,advance,1
13289252,5,427,6.20,,advance,1
13289253,5,427,6.20,,advance,1
13289254,5,427,6.20,,advance,1
13289255,5,427,6.20,,advance,1
13289256,5,427,6.20,,advance,1
13289257,5,427,6.20,,advance,1
13289258,5,427,6.20,,advance,1
13289259,5,427,6.20,,advance,1
13289260,5,427,6.20,,advance,1
13289261,5,427,6.20,,advance,1
13289262,5,427,6.20,,advance,1
13289263,5,427,6.20,,advance,1
13289264,5,427,6.20,,advance,1
13289265,5,427,6.20,,advance,1
13289266,5,427,6.20,,advance,1
13289267,5,427,6.20,,retire,0
13289268,5,427,6.20,,retire,0
13289269,5,427,6.20,,advance,1
13289270,5,427,6.20,,advance,1
13289271,5,427,6.20,,retire,0
13289272,5,427,6.20,,retire,0
13289273,5,427,6.20,,retire,0
13289274,5,427,6.20,,advance,1
13289275,5,427,6.20,,advance,1
13289276,5,427,6.20,,advance,1
13289277,5,427,6.20,,advance,1
13289278,5,427,6.20,,advance,1
13289279,5,427,6.20,,advance,1
13289280,5,427,6.20,,advance,1
13289281,5,427,6.20,,advance,1
13289282,5,427,6.20,,retire,0
13289283,5,427,6.20,,advance,1
13289284,5,427,6.20,,advance,1
13289285,5,427,6.20,,advance,1
13289286,5,427,6.20,,advance,1
13289287,5,427,6.20,,advance,1
13289288,5,427,6.20,,advance,1
13289289,5,427,6.20,,advance,1
13289290,5,427,6.20,,advance,1
13289291,5,427,6.20,,advance,1
13289292,5,427,6.20,,advance,1
13289293,5,427,6.20,,advance,1
13289294,5,427,6.20,,advance,1
13289295,5,427,6.20,,retire,0
13289296,5,427,6.20,,advance,1
13289297,5,427,6.20,,advance,1
13289298,5,427,6.20,,advance,1
13289299,5,427,6.20,,advance,1
